state_postal_abbr,year,bias_motivation,count
WV,2014,Anti-Asian,1
WV,2014,Anti-Bisexual,1
WV,2014,Anti-Black or African American,8
WV,2014,Anti-Catholic,2
WV,2014,Anti-Male Homosexual (Gay),3
WV,2014,Anti-Mental Disability,1
WV,2014,Anti-Not Hispanic or Latino,1
WV,2014,Anti-Physical Disability,1
WV,2014,Anti-White,9
WI,2014,Anti-American Indian or Alaska Native,1
WI,2014,Anti-Asian,1
WI,2014,Anti-Black or African American,15
WI,2014,Anti-Catholic,4
WI,2014,Anti-Hispanic or Latino,4
WI,2014,Anti-Jewish,1
WI,2014,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",5
WI,2014,Anti-Male Homosexual (Gay),9
WI,2014,Anti-Mental Disability,1
WI,2014,Anti-Multi-Racial Group,2
WI,2014,Anti-Not Hispanic or Latino,1
WI,2014,Anti-Other Religion,1
WI,2014,Anti-Physical Disability,2
WI,2014,Anti-Protestant,1
WI,2014,Anti-White,12
WA,2014,Anti-American Indian or Alaska Native,32
WA,2014,Anti-Asian,12
WA,2014,Anti-Atheist/Agnosticism,1
WA,2014,Anti-Black or African American,68
WA,2014,Anti-Catholic,2
WA,2014,Anti-Female,3
WA,2014,Anti-Female Homosexual (Lesbian),5
WA,2014,Anti-Gender Non-Conforming,1
WA,2014,Anti-Heterosexual,1
WA,2014,Anti-Hispanic or Latino,12
WA,2014,Anti-Islamic (Muslem),11
WA,2014,Anti-Jewish,12
WA,2014,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",18
WA,2014,Anti-Male,5
WA,2014,Anti-Male Homosexual (Gay),20
WA,2014,Anti-Mental Disability,2
WA,2014,Anti-Multi-Racial Group,10
WA,2014,Anti-Multi-Religious Group,7
WA,2014,Anti-Native Hawaiian or Other Pacific Islander,1
WA,2014,Anti-Not Hispanic or Latino,15
WA,2014,Anti-Other Religion,17
WA,2014,Anti-Physical Disability,1
WA,2014,Anti-Protestant,3
WA,2014,Anti-White,55
VT,2014,Anti-Black or African American,4
VT,2014,Anti-Jewish,1
VT,2014,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",1
VT,2014,Anti-Mental Disability,4
VT,2014,Anti-Multi-Racial Group,1
VT,2014,Anti-Other Religion,1
VT,2014,Anti-Protestant,1
VT,2014,Anti-White,2
VA,2014,Anti-American Indian or Alaska Native,2
VA,2014,Anti-Asian,5
VA,2014,Anti-Black or African American,48
VA,2014,Anti-Catholic,1
VA,2014,Anti-Female Homosexual (Lesbian),4
VA,2014,Anti-Heterosexual,1
VA,2014,Anti-Hispanic or Latino,5
VA,2014,Anti-Islamic (Muslem),5
VA,2014,Anti-Jewish,10
VA,2014,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",5
VA,2014,Anti-Male Homosexual (Gay),12
VA,2014,Anti-Mental Disability,1
VA,2014,Anti-Multi-Racial Group,1
VA,2014,Anti-Multi-Religious Group,1
VA,2014,Anti-Not Hispanic or Latino,7
VA,2014,Anti-White,16
UT,2014,Anti-American Indian or Alaska Native,4
UT,2014,Anti-Asian,2
UT,2014,Anti-Bisexual,1
UT,2014,Anti-Black or African American,6
UT,2014,Anti-Catholic,1
UT,2014,Anti-Hispanic or Latino,4
UT,2014,Anti-Islamic (Muslem),4
UT,2014,Anti-Jewish,2
UT,2014,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",2
UT,2014,Anti-Other Religion,7
UT,2014,Anti-Protestant,3
UT,2014,Anti-White,14
TX,2014,Anti-Arab,1
TX,2014,Anti-Asian,4
TX,2014,Anti-Black or African American,79
TX,2014,Anti-Catholic,6
TX,2014,Anti-Female,2
TX,2014,Anti-Female Homosexual (Lesbian),17
TX,2014,Anti-Hispanic or Latino,29
TX,2014,Anti-Islamic (Muslem),18
TX,2014,Anti-Jewish,8
TX,2014,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",31
TX,2014,Anti-Male Homosexual (Gay),53
TX,2014,Anti-Multi-Religious Group,1
TX,2014,Anti-Not Hispanic or Latino,1
TX,2014,Anti-Other Religion,4
TX,2014,Anti-Protestant,3
TX,2014,Anti-Transgender,3
TX,2014,Anti-White,35
TN,2014,Anti-American Indian or Alaska Native,3
TN,2014,Anti-Asian,3
TN,2014,Anti-Atheist/Agnosticism,2
TN,2014,Anti-Bisexual,1
TN,2014,Anti-Black or African American,46
TN,2014,Anti-Female Homosexual (Lesbian),2
TN,2014,Anti-Hispanic or Latino,7
TN,2014,Anti-Islamic (Muslem),5
TN,2014,Anti-Jewish,1
TN,2014,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",7
TN,2014,Anti-Male Homosexual (Gay),13
TN,2014,Anti-Mental Disability,5
TN,2014,Anti-Multi-Racial Group,4
TN,2014,Anti-Multi-Religious Group,2
TN,2014,Anti-Not Hispanic or Latino,67
TN,2014,Anti-Other Religion,2
TN,2014,Anti-Protestant,3
TN,2014,Anti-White,28
SD,2014,Anti-Black or African American,5
SD,2014,Anti-Catholic,1
SD,2014,Anti-Gender Non-Conforming,1
SD,2014,Anti-Hispanic or Latino,1
SD,2014,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",3
SD,2014,Anti-Male Homosexual (Gay),1
SD,2014,Anti-Mental Disability,1
SD,2014,Anti-Multi-Racial Group,1
SD,2014,Anti-Not Hispanic or Latino,1
SD,2014,Anti-Protestant,2
SD,2014,Anti-White,3
SC,2014,Anti-Black or African American,17
SC,2014,Anti-Female Homosexual (Lesbian),1
SC,2014,Anti-Hispanic or Latino,4
SC,2014,Anti-Islamic (Muslem),1
SC,2014,Anti-Jewish,1
SC,2014,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",7
SC,2014,Anti-Male Homosexual (Gay),4
SC,2014,Anti-Mental Disability,5
SC,2014,Anti-Multi-Racial Group,1
SC,2014,Anti-Multi-Religious Group,4
SC,2014,Anti-Other Religion,1
SC,2014,Anti-White,10
RI,2014,Anti-Hispanic or Latino,1
RI,2014,Anti-Islamic (Muslem),1
RI,2014,Anti-Male Homosexual (Gay),1
RI,2014,Anti-White,1
PA,2014,Anti-Asian,4
PA,2014,Anti-Black or African American,22
PA,2014,Anti-Hispanic or Latino,5
PA,2014,Anti-Islamic (Muslem),3
PA,2014,Anti-Jewish,5
PA,2014,Anti-Male Homosexual (Gay),1
PA,2014,Anti-Multi-Religious Group,1
PA,2014,Anti-Not Hispanic or Latino,2
PA,2014,Anti-Protestant,1
PA,2014,Anti-White,11
OR,2014,Anti-American Indian or Alaska Native,1
OR,2014,Anti-Bisexual,1
OR,2014,Anti-Black or African American,7
OR,2014,Anti-Catholic,3
OR,2014,Anti-Female Homosexual (Lesbian),2
OR,2014,Anti-Heterosexual,1
OR,2014,Anti-Hispanic or Latino,8
OR,2014,Anti-Male Homosexual (Gay),3
OR,2014,Anti-Not Hispanic or Latino,2
OR,2014,Anti-White,2
OK,2014,Anti-American Indian or Alaska Native,1
OK,2014,Anti-Asian,1
OK,2014,Anti-Black or African American,9
OK,2014,Anti-Catholic,5
OK,2014,Anti-Female Homosexual (Lesbian),5
OK,2014,Anti-Hispanic or Latino,7
OK,2014,Anti-Islamic (Muslem),4
OK,2014,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",1
OK,2014,Anti-Male Homosexual (Gay),17
OK,2014,Anti-Multi-Religious Group,1
OK,2014,Anti-Not Hispanic or Latino,4
OK,2014,Anti-Physical Disability,1
OK,2014,Anti-White,8
OH,2014,Anti-American Indian or Alaska Native,151
OH,2014,Anti-Asian,1
OH,2014,Anti-Atheist/Agnosticism,1
OH,2014,Anti-Bisexual,9
OH,2014,Anti-Black or African American,168
OH,2014,Anti-Catholic,5
OH,2014,Anti-Female Homosexual (Lesbian),12
OH,2014,Anti-Heterosexual,8
OH,2014,Anti-Hispanic or Latino,14
OH,2014,Anti-Islamic (Muslem),18
OH,2014,Anti-Jewish,11
OH,2014,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",25
OH,2014,Anti-Male Homosexual (Gay),53
OH,2014,Anti-Mental Disability,7
OH,2014,Anti-Multi-Racial Group,6
OH,2014,Anti-Multi-Religious Group,6
OH,2014,Anti-Not Hispanic or Latino,110
OH,2014,Anti-Other Religion,3
OH,2014,Anti-Physical Disability,3
OH,2014,Anti-White,101
NY,2014,Anti-Arab,1
NY,2014,Anti-Asian,4
